Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the tracking code with alphanumeric value and with special characters,UN-61,10096,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 6:16 AM,08/Sep/21 6:29 AM,09/Sep/21 4:53 AM,08/Sep/21 6:29 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-8,,,,,,,{},,UN-1,,,,,0|i000ia:,,UN Sprint 1,,,,,,,,Done
Verify the tracking code with white spaces,UN-60,10095,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 6:02 AM,08/Sep/21 6:29 AM,09/Sep/21 4:53 AM,08/Sep/21 6:29 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-8,,,,,,,{},,UN-1,,,,,0|i000i2:,,UN Sprint 1,,,,,,,,Done
Verify the calendar that leap year contains 29 days in February month in Date Added field,UN-59,10094,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 5:46 AM,08/Sep/21 5:52 AM,09/Sep/21 4:53 AM,08/Sep/21 5:52 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i000hu:,,UN Sprint 1,,,,,,,,Done
Verify the Date Added field does not accept characters,UN-58,10093,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 5:42 AM,08/Sep/21 5:52 AM,09/Sep/21 4:53 AM,08/Sep/21 5:52 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i000hm:,,UN Sprint 1,,,,,,,,Done
Verify the Date Added field should not have year as 0000,UN-57,10092,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 5:39 AM,08/Sep/21 5:53 AM,09/Sep/21 4:53 AM,08/Sep/21 5:53 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i000he:,,UN Sprint 1,,,,,,,,Done
"Verify the Date Added field should not accept the value for the month, less than one and greater than 12",UN-56,10091,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 5:33 AM,08/Sep/21 5:52 AM,09/Sep/21 4:53 AM,08/Sep/21 5:52 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i000h6:,,UN Sprint 1,,,,,,,,Done
Verify the values should be numeric and should not accept special characters other than '/' and '-' in Date Added field,UN-55,10090,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 5:28 AM,08/Sep/21 5:52 AM,09/Sep/21 4:53 AM,08/Sep/21 5:52 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i000gy:,,UN Sprint 1,,,,,,,,Done
Verify the Date Added field by checking the calendar with a particular month of any year,UN-54,10089,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 5:21 AM,08/Sep/21 5:52 AM,09/Sep/21 4:53 AM,08/Sep/21 5:52 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i000gq:,,UN Sprint 1,,,,,,,,Done
Verify the Date Added field should display current month as default,UN-53,10088,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 5:11 AM,08/Sep/21 5:53 AM,09/Sep/21 4:53 AM,08/Sep/21 5:53 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i000gi:,,UN Sprint 1,,,,,,,,Done
"Verify the Date Added field should not accept the value for the day, less than one and greater than 31",UN-52,10087,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 3:54 AM,08/Sep/21 6:03 AM,09/Sep/21 4:53 AM,08/Sep/21 5:53 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i000ga:,,UN Sprint 1,,,,,,,,Done
